time_iso8601,stars_cumulative
2023-03-01 00:00:00+00:00,681
2023-03-02 00:00:00+00:00,683
2023-03-03 00:00:00+00:00,684
2023-03-08 00:00:00+00:00,685
2023-03-10 00:00:00+00:00,686
2023-03-12 00:00:00+00:00,687
2023-03-15 00:00:00+00:00,688
2023-03-16 00:00:00+00:00,689
2023-03-17 00:00:00+00:00,695
2023-03-18 00:00:00+00:00,698
2023-03-20 00:00:00+00:00,711
2023-03-21 00:00:00+00:00,714
2023-03-22 00:00:00+00:00,718
2023-03-24 00:00:00+00:00,721
2023-03-25 00:00:00+00:00,723
2023-03-26 00:00:00+00:00,727
2023-03-27 00:00:00+00:00,728
2023-03-28 00:00:00+00:00,730
2023-03-29 00:00:00+00:00,732
2023-03-30 00:00:00+00:00,735
2023-03-31 00:00:00+00:00,745
2023-04-01 00:00:00+00:00,749
2023-04-02 00:00:00+00:00,755
2023-04-03 00:00:00+00:00,760
2023-04-04 00:00:00+00:00,762
2023-04-05 00:00:00+00:00,767
2023-04-07 00:00:00+00:00,768
2023-04-09 00:00:00+00:00,770
2023-04-11 00:00:00+00:00,771
2023-04-12 00:00:00+00:00,772
2023-04-13 00:00:00+00:00,773
2023-04-15 00:00:00+00:00,775
2023-04-17 00:00:00+00:00,776
2023-04-18 00:00:00+00:00,777
2023-04-19 00:00:00+00:00,778
2023-04-20 00:00:00+00:00,779
2023-04-21 00:00:00+00:00,781
2023-04-22 00:00:00+00:00,782
2023-04-25 00:00:00+00:00,785
2023-04-26 00:00:00+00:00,786
2023-04-28 00:00:00+00:00,787
2023-04-29 00:00:00+00:00,789
2023-05-02 00:00:00+00:00,790
2023-05-03 00:00:00+00:00,791
2023-05-04 00:00:00+00:00,792
2023-05-12 00:00:00+00:00,794
2023-05-13 00:00:00+00:00,797
2023-05-16 00:00:00+00:00,798
2023-05-17 00:00:00+00:00,800
2023-05-18 00:00:00+00:00,802
2023-05-21 00:00:00+00:00,804
2023-05-23 00:00:00+00:00,805
2023-05-24 00:00:00+00:00,807
2023-05-25 00:00:00+00:00,808
2023-05-26 00:00:00+00:00,809
2023-06-02 00:00:00+00:00,810
2023-06-06 00:00:00+00:00,813
2023-06-08 00:00:00+00:00,815
2023-06-14 00:00:00+00:00,816
2023-06-15 00:00:00+00:00,817
2023-06-16 00:00:00+00:00,820
2023-06-17 00:00:00+00:00,821
2023-06-20 00:00:00+00:00,826
2023-06-23 00:00:00+00:00,827
2023-06-26 00:00:00+00:00,828
2023-07-01 00:00:00+00:00,829
2023-07-02 00:00:00+00:00,830
2023-07-07 00:00:00+00:00,831
2023-07-16 00:00:00+00:00,832
2023-07-20 00:00:00+00:00,834
2023-07-22 00:00:00+00:00,835
2023-07-25 00:00:00+00:00,837
2023-07-28 00:00:00+00:00,839
2023-07-29 00:00:00+00:00,840
2023-08-01 00:00:00+00:00,841
2023-08-05 00:00:00+00:00,842
2023-08-09 00:00:00+00:00,843
2023-08-10 00:00:00+00:00,844
2023-08-11 00:00:00+00:00,845
2023-08-15 00:00:00+00:00,846
2023-08-17 00:00:00+00:00,848
2023-08-18 00:00:00+00:00,850
2023-08-23 00:00:00+00:00,851
2023-08-25 00:00:00+00:00,852
2023-08-26 00:00:00+00:00,853
2023-08-27 00:00:00+00:00,854
2023-08-28 00:00:00+00:00,855
2023-08-30 00:00:00+00:00,856
2023-09-03 00:00:00+00:00,860
2023-09-04 00:00:00+00:00,861
2023-09-06 00:00:00+00:00,862
2023-09-08 00:00:00+00:00,863
2023-09-09 00:00:00+00:00,864
2023-09-11 00:00:00+00:00,865
2023-09-12 00:00:00+00:00,867
2023-09-14 00:00:00+00:00,868
2023-09-19 00:00:00+00:00,869
2023-09-22 00:00:00+00:00,870
2023-09-23 00:00:00+00:00,871
2023-09-26 00:00:00+00:00,873
2023-09-27 00:00:00+00:00,874
2023-10-04 00:00:00+00:00,875
2023-10-07 00:00:00+00:00,876
2023-10-09 00:00:00+00:00,884
2023-10-10 00:00:00+00:00,888
2023-10-11 00:00:00+00:00,897
2023-10-12 00:00:00+00:00,904
2023-10-13 00:00:00+00:00,911
2023-10-14 00:00:00+00:00,913
2023-10-15 00:00:00+00:00,919
2023-10-16 00:00:00+00:00,924
2023-10-17 00:00:00+00:00,930
2023-10-18 00:00:00+00:00,935
2023-10-19 00:00:00+00:00,937
2023-10-20 00:00:00+00:00,940
2023-10-21 00:00:00+00:00,943
2023-10-22 00:00:00+00:00,946
2023-10-23 00:00:00+00:00,948
2023-10-24 00:00:00+00:00,954
2023-10-25 00:00:00+00:00,967
2023-10-26 00:00:00+00:00,977
2023-10-27 00:00:00+00:00,997
2023-10-28 00:00:00+00:00,1004
2023-10-29 00:00:00+00:00,1013
2023-10-30 00:00:00+00:00,1027
2023-10-31 00:00:00+00:00,1035
2023-11-01 00:00:00+00:00,1046
2023-11-02 00:00:00+00:00,1063
2023-11-03 00:00:00+00:00,1075
2023-11-04 00:00:00+00:00,1081
2023-11-05 00:00:00+00:00,1089
2023-11-06 00:00:00+00:00,1095
2023-11-07 00:00:00+00:00,1103
2023-11-08 00:00:00+00:00,1106
2023-11-09 00:00:00+00:00,1114
2023-11-10 00:00:00+00:00,1119
2023-11-11 00:00:00+00:00,1123
2023-11-12 00:00:00+00:00,1128
2023-11-13 00:00:00+00:00,1137
2023-11-14 00:00:00+00:00,1144
2023-11-15 00:00:00+00:00,1147
2023-11-16 00:00:00+00:00,1156
2023-11-17 00:00:00+00:00,1160
2023-11-18 00:00:00+00:00,1165
2023-11-19 00:00:00+00:00,1167
2023-11-20 00:00:00+00:00,1174
2023-11-21 00:00:00+00:00,1176
2023-11-22 00:00:00+00:00,1179
2023-11-23 00:00:00+00:00,1181
2023-11-25 00:00:00+00:00,1183
2023-11-26 00:00:00+00:00,1189
2023-11-27 00:00:00+00:00,1198
2023-11-28 00:00:00+00:00,1205
2023-11-29 00:00:00+00:00,1211
2023-11-30 00:00:00+00:00,1218
2023-12-01 00:00:00+00:00,1222
2023-12-02 00:00:00+00:00,1228
2023-12-03 00:00:00+00:00,1238
2023-12-04 00:00:00+00:00,1247
2023-12-05 00:00:00+00:00,1251
2023-12-06 00:00:00+00:00,1255
2023-12-07 00:00:00+00:00,1266
2023-12-08 00:00:00+00:00,1274
2023-12-10 00:00:00+00:00,1279
2023-12-11 00:00:00+00:00,1284
2023-12-12 00:00:00+00:00,1292
2023-12-13 00:00:00+00:00,1296
2023-12-14 00:00:00+00:00,1301
2023-12-15 00:00:00+00:00,1306
2023-12-16 00:00:00+00:00,1308
2023-12-17 00:00:00+00:00,1314
2023-12-18 00:00:00+00:00,1318
2023-12-19 00:00:00+00:00,1323
2023-12-20 00:00:00+00:00,1328
2023-12-21 00:00:00+00:00,1333
2023-12-22 00:00:00+00:00,1337
2023-12-23 00:00:00+00:00,1342
2023-12-24 00:00:00+00:00,1343
2023-12-26 00:00:00+00:00,1346
2023-12-27 00:00:00+00:00,1351
2023-12-28 00:00:00+00:00,1356
2023-12-29 00:00:00+00:00,1365
2023-12-30 00:00:00+00:00,1369
2023-12-31 00:00:00+00:00,1377
2024-01-01 00:00:00+00:00,1385
2024-01-02 00:00:00+00:00,1400
2024-01-03 00:00:00+00:00,1418
2024-01-04 00:00:00+00:00,1425
2024-01-05 00:00:00+00:00,1429
2024-01-06 00:00:00+00:00,1441
2024-01-07 00:00:00+00:00,1448
2024-01-08 00:00:00+00:00,1463
2024-01-09 00:00:00+00:00,1468
2024-01-10 00:00:00+00:00,1472
2024-01-11 00:00:00+00:00,1477
2024-01-12 00:00:00+00:00,1480
2024-01-13 00:00:00+00:00,1486
2024-01-14 00:00:00+00:00,1492
2024-01-15 00:00:00+00:00,1498
2024-01-16 00:00:00+00:00,1504
2024-01-17 00:00:00+00:00,1511
2024-01-18 00:00:00+00:00,1525
2024-01-19 00:00:00+00:00,1531
2024-01-20 00:00:00+00:00,1534
2024-01-21 00:00:00+00:00,1538
2024-01-22 00:00:00+00:00,1543
2024-01-23 00:00:00+00:00,1548
2024-01-24 00:00:00+00:00,1550
2024-01-25 00:00:00+00:00,1557
2024-01-26 00:00:00+00:00,1562
2024-01-27 00:00:00+00:00,1564
2024-01-28 00:00:00+00:00,1565
2024-01-29 00:00:00+00:00,1569
2024-01-30 00:00:00+00:00,1573
2024-01-31 00:00:00+00:00,1576
2024-02-01 00:00:00+00:00,1579
2024-02-02 00:00:00+00:00,1581
2024-02-03 00:00:00+00:00,1588
2024-02-04 00:00:00+00:00,1595
2024-02-05 00:00:00+00:00,1600
2024-02-06 00:00:00+00:00,1611
2024-02-07 00:00:00+00:00,1615
2024-02-08 00:00:00+00:00,1619
2024-02-09 00:00:00+00:00,1621
2024-02-11 00:00:00+00:00,1624
2024-02-12 00:00:00+00:00,1630
2024-02-13 00:00:00+00:00,1637
2024-02-14 00:00:00+00:00,1640
2024-02-15 00:00:00+00:00,1649
2024-02-16 00:00:00+00:00,1654
2024-02-17 00:00:00+00:00,1659
2024-02-18 00:00:00+00:00,1664
2024-02-19 00:00:00+00:00,1669
2024-02-20 00:00:00+00:00,1673
2024-02-21 00:00:00+00:00,1680
2024-02-22 00:00:00+00:00,1686
