url_path,views_total,views_unique
/instill-ai/instill-core,658,441
/instill-ai/instill-core/tree/main/charts/instill-core,45,12
/instill-ai/instill-core/pull/419,43,5
/instill-ai/instill-core/pulls,33,14
/instill-ai/instill-core/tree/main/charts/instill-core/templates,32,7
/instill-ai/instill-core/tree/main/release-please,26,11
/instill-ai/instill-core/pull/419/files,19,3
/instill-ai/instill-core/commits,18,2
/instill-ai/instill-core/blob/main/Dockerfile,17,8
/instill-ai/instill-core/commits/main,16,3
