url_path,views_total,views_unique
/instill-ai/instill-core,613,375
/instill-ai/instill-core/pulls,35,11
/instill-ai/instill-core/issues,30,21
/instill-ai/instill-core/tree/main/charts/instill-core,22,13
/instill-ai/instill-core/tree/main/examples,21,12
/instill-ai/instill-core/pull/234,14,6
/instill-ai/instill-core/actions,14,4
/instill-ai/instill-core/tree/main/examples/instill/streamlit-instance-segmentation-sync-http-http-stomata,13,5
/instill-ai/instill-core/blob/main/docker-compose.yml,13,4
/instill-ai/instill-core/commits/main,11,5
