url_path,views_total,views_unique
/instill-ai/instill-core,253,140
/instill-ai/instill-core/actions,99,1
/instill-ai/instill-core/actions/workflows/e2e-test-on-prem.yml,61,1
/instill-ai/instill-core/actions/workflows/e2e-test-demo.yml,32,1
/instill-ai/instill-core/pulls,25,11
/instill-ai/instill-core/tree/main/model-hub,24,6
/instill-ai/instill-core/issues,16,13
/instill-ai/instill-core/blob/main/.github/workflows/e2e-test-demo.yml,16,1
/instill-ai/instill-core/blob/main/.github/workflows/e2e-test-on-prem.yml,16,1
/instill-ai/instill-core/blob/main/Makefile,13,4
