referrer,views_total,views_unique
github.com,124,56
forms.clickup.com,38,5
Google,36,13
instill.tech,19,7
medium.com,7,2
statics.teams.cdn.office.net,7,2
t.co,1,1
indiehackers.com,1,1
l.facebook.com,1,1
Bing,1,1
