url_path,views_total,views_unique
/instill-ai/instill-core,263,137
/instill-ai/instill-core/actions,48,3
/instill-ai/instill-core/pulls,25,5
/instill-ai/instill-core/pull/259,21,3
/instill-ai/instill-core/blob/phelannguyen/ins-256-implement-custom-logic-in-model-backend/charts/instill-core/templates/model/post-install-job.yaml,15,4
/instill-ai/instill-core/issues,13,10
/instill-ai/instill-core/tree/main/model-hub,13,7
/instill-ai/instill-core/blob/main/docker-compose.yml,13,5
/instill-ai/instill-core/pull/259/files,13,3
/instill-ai/instill-core/actions/workflows/e2e-test-on-prem.yml,12,1
