referrer,views_total,views_unique
github.com,170,63
forms.clickup.com,26,7
linkedin.com,25,12
Google,22,11
t.co,22,4
facebook.com,18,16
com.google.android.gm,13,7
l.facebook.com,12,5
com.linkedin.android,6,5
m.facebook.com,5,4
