url_path,views_total,views_unique
/instill-ai/instill-core,200,104
/instill-ai/instill-core/tree/main/charts/core,51,7
/instill-ai/instill-core/pulls,49,6
/instill-ai/instill-core/blob/main/charts/core/values.yaml,48,3
/instill-ai/instill-core/blob/main/charts/core/templates/ray/service.yaml,48,2
/instill-ai/instill-core/blob/main/charts/core/templates/_helpers.tpl,45,2
/instill-ai/instill-core/blob/main/charts/core/templates/pipeline-backend/configmap.yaml,38,1
/instill-ai/instill-core/pull/1195,30,3
/instill-ai/instill-core/blob/main/charts/core/templates/ray/monitor.yaml,22,1
/instill-ai/instill-core/tree/main,19,5
