referrer,views_total,views_unique
github.com,65,36
Google,30,15
app.eraser.io,22,1
instill.tech,8,4
mail.qq.com,4,2
mail.google.com,3,1
com.google.android.gm,2,2
outlook.live.com,2,2
m.sogou.com,2,1
docs.mage.ai,2,1
