referrer,views_total,views_unique
github.com,292,62
Google,13,10
instill.tech,10,6
Bing,6,4
mail.qq.com,4,3
siemens-logistics.app.blackduck.com,4,1
forms.clickup.com,3,2
t.co,2,2
l.facebook.com,2,2
facebook.com,2,2
