time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-25 00:00:00+00:00,4.0,1.0,20,11
2024-12-26 00:00:00+00:00,1.0,1.0,20,11
2024-12-27 00:00:00+00:00,1.0,1.0,12,7
2024-12-28 00:00:00+00:00,1.0,1.0,24,16
2024-12-29 00:00:00+00:00,,,10,6
2024-12-30 00:00:00+00:00,2.0,2.0,27,17
2024-12-31 00:00:00+00:00,4.0,1.0,16,11
2025-01-01 00:00:00+00:00,,,15,10
2025-01-02 00:00:00+00:00,3.0,1.0,28,12
2025-01-03 00:00:00+00:00,3.0,2.0,22,17
2025-01-04 00:00:00+00:00,2.0,2.0,16,10
2025-01-05 00:00:00+00:00,2.0,2.0,12,9
2025-01-06 00:00:00+00:00,4.0,3.0,48,20
2025-01-07 00:00:00+00:00,3.0,3.0,54,16
