referrer,views_total,views_unique
github.com,187,62
producthunt.com,87,12
news.ycombinator.com,26,1
Google,22,13
com.google.android.gm,15,13
instill.tech,8,7
youtube.com,8,2
Bing,4,2
forms.clickup.com,3,3
aitoppicks.com,3,2
