referrer,views_total,views_unique
github.com,197,46
Google,103,32
youtube.com,16,5
facebook.com,8,8
instill.tech,6,4
Bing,5,3
l.facebook.com,2,2
linkedin.com,2,2
m.facebook.com,2,1
lm.facebook.com,1,1
