url_path,views_total,views_unique
/instill-ai/instill-core,472,281
/instill-ai/instill-core/pulls,91,17
/instill-ai/instill-core/tree/main/charts/core,91,16
/instill-ai/instill-core/tree/main/release-please,89,14
/instill-ai/instill-core/commits/main,59,7
/instill-ai/instill-core/blob/main/charts/core/values.yaml,40,3
/instill-ai/instill-core/tree/main/model-hub,37,12
/instill-ai/instill-core/tree/main/charts/core/templates,33,6
/instill-ai/instill-core/actions,30,8
/instill-ai/instill-core/tree/main/configs,29,9
