url_path,views_total,views_unique
/instill-ai/instill-core,457,319
/instill-ai/instill-core/tree/main/charts/instill-core,35,15
/instill-ai/instill-core/tree/main/release-please,32,12
/instill-ai/instill-core/blob/main/LICENSE,11,5
/instill-ai/instill-core/blob/main/docker-compose.build.yml,10,4
/instill-ai/instill-core/tree/main/charts/instill-core/templates,9,3
/instill-ai/instill-core/blob/main/Dockerfile,8,4
/instill-ai/instill-core/blob/main/release-please/config.json,8,4
/instill-ai/instill-core/blob/main/Makefile,8,3
/instill-ai/instill-core/commit/2ef6b3796ffd4bdf059dfbf60bd72a8f8bceead2,7,7
