referrer,views_total,views_unique
github.com,108,33
instill.tech,22,7
Google,18,11
t.co,6,6
outlook.live.com,3,1
m.facebook.com,2,2
l.facebook.com,2,2
com.linkedin.android,2,1
zollo.sanixdk.xyz,1,1
facebook.com,1,1
