url_path,views_total,views_unique
/instill-ai/instill-core,483,289
/instill-ai/instill-core/pulls,79,18
/instill-ai/instill-core/tree/main/model-hub,45,17
/instill-ai/instill-core/tree/main/release-please,44,6
/instill-ai/instill-core/tree/main/charts/core,42,13
/instill-ai/instill-core/blob/main/charts/core/values.yaml,26,1
/instill-ai/instill-core/tree/main/configs,22,6
/instill-ai/instill-core/blob/main/docker-compose.yml,21,7
/instill-ai/instill-core/blob/main/README.md,20,6
/instill-ai/instill-core/blob/main/configs/prometheus/config.yaml,20,2
