referrer,views_total,views_unique
github.com,216,108
mail.google.com,115,74
com.google.android.gm,102,63
Google,50,23
mail.qq.com,34,28
news.ycombinator.com,24,22
intranet.younetco.com,20,1
mail.163.com,18,10
instill.tech,16,6
indiehackers.com,6,1
