time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-30 00:00:00+00:00,11,3,32.0,20.0
2025-01-31 00:00:00+00:00,61,7,27.0,20.0
2025-02-01 00:00:00+00:00,52,9,22.0,15.0
2025-02-02 00:00:00+00:00,1,1,14.0,10.0
2025-02-03 00:00:00+00:00,50,7,32.0,9.0
2025-02-04 00:00:00+00:00,74,6,29.0,12.0
2025-02-05 00:00:00+00:00,40,10,41.0,5.0
2025-02-06 00:00:00+00:00,19,9,30.0,16.0
2025-02-07 00:00:00+00:00,38,11,21.0,16.0
2025-02-08 00:00:00+00:00,2,2,22.0,13.0
2025-02-09 00:00:00+00:00,31,3,11.0,7.0
2025-02-10 00:00:00+00:00,52,8,42.0,25.0
2025-02-11 00:00:00+00:00,19,7,20.0,11.0
2025-02-12 00:00:00+00:00,10,3,,
