url_path,views_total,views_unique
/instill-ai/instill-core,74,53
/instill-ai/instill-core/actions/workflows/integration-test.yml,24,1
/instill-ai/instill-core/pulls,20,5
/instill-ai/instill-core/commits/main,13,2
/instill-ai/instill-core/pull/1444,11,11
/instill-ai/instill-core/pull/1446,11,11
/instill-ai/instill-core/pull/1427,10,10
/instill-ai/instill-core/pull/1437,10,9
/instill-ai/instill-core/commit/11460afad35c2be1c54ca4ec73df18282202eca2,9,9
/instill-ai/instill-core/commit/1ca8b4d82a18d4ea638fb0396b84c103cf783e8c,9,9
