url_path,views_total,views_unique
/instill-ai/instill-core,209,124
/instill-ai/instill-core/pulls,37,6
/instill-ai/instill-core/tree/main/charts/core,30,5
/instill-ai/instill-core/pull/1215,24,2
/instill-ai/instill-core/blob/main/charts/core/values.yaml,16,2
/instill-ai/instill-core/issues,13,8
/instill-ai/instill-core/actions/runs/14423072355,9,1
/instill-ai/instill-core/pull/1215/files,8,2
/instill-ai/instill-core/tree/sarthakgupta/rollout-configuration-draft,8,2
/instill-ai/instill-core/pull/1211,7,3
