url_path,views_total,views_unique
/instill-ai/instill-core,77,49
/instill-ai/instill-core/issues,26,4
/instill-ai/instill-core/blob/main/.github/CONTRIBUTING.md,4,2
/instill-ai/instill-core/blob/fe2d0a2068b9b3e58e9e73d6a057e66c29f8d8a2/.pre-commit-config.yaml,4,1
/instill-ai/instill-core/issues/1272,3,3
/instill-ai/instill-core/pull/147,3,3
/instill-ai/instill-core/tree/main/charts/core,3,2
/instill-ai/instill-core/issues/979,3,1
/instill-ai/instill-core/actions/workflows/releases-helm-charts.yml,2,2
/instill-ai/instill-core/blob/main/LICENSE,2,2
