url_path,views_total,views_unique
/instill-ai/instill-core,49,38
/instill-ai/instill-core/issues,8,8
/instill-ai/instill-core/pulls,6,4
/instill-ai/instill-core/commit/293fc1fe4834eb5c85137ada07e389d7e88592de,3,2
/instill-ai/instill-core/milestones,3,2
/instill-ai/instill-core/commit/ae9e227f2c6dd896a01889d5e104619f5efa6186,2,2
/instill-ai/instill-core/pull/1199,2,2
/instill-ai/instill-core/commit/74e0a597d04b03953cc52253385c39708deeb6e1,2,1
/instill-ai/instill-core/commit/d2bbed3391192c97a77c2b99a8277488229113f0,2,1
/instill-ai/instill-core/commit/ed7c669de58ec75681e3e534f07286855bb26900,2,1
