time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-05 00:00:00+00:00,2.0,2.0,12,9
2025-01-06 00:00:00+00:00,4.0,3.0,48,20
2025-01-07 00:00:00+00:00,3.0,3.0,59,16
2025-01-08 00:00:00+00:00,7.0,4.0,29,23
2025-01-09 00:00:00+00:00,1.0,1.0,26,19
2025-01-10 00:00:00+00:00,2.0,2.0,21,11
2025-01-11 00:00:00+00:00,3.0,3.0,20,14
2025-01-12 00:00:00+00:00,,,19,13
2025-01-13 00:00:00+00:00,1.0,1.0,12,9
2025-01-14 00:00:00+00:00,8.0,3.0,27,14
2025-01-15 00:00:00+00:00,6.0,2.0,25,10
2025-01-16 00:00:00+00:00,42.0,7.0,12,11
2025-01-17 00:00:00+00:00,2.0,2.0,9,6
2025-01-18 00:00:00+00:00,2.0,2.0,9,7
