time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-19 00:00:00+00:00,76,29,105,12
2025-06-20 00:00:00+00:00,130,28,225,19
2025-06-21 00:00:00+00:00,15,11,38,18
2025-06-22 00:00:00+00:00,8,6,11,9
2025-06-23 00:00:00+00:00,27,13,30,18
2025-06-24 00:00:00+00:00,50,12,51,13
2025-06-25 00:00:00+00:00,133,23,45,14
2025-06-26 00:00:00+00:00,143,22,46,8
2025-06-27 00:00:00+00:00,43,6,25,13
2025-06-28 00:00:00+00:00,70,24,10,7
2025-06-29 00:00:00+00:00,147,40,27,9
2025-06-30 00:00:00+00:00,71,17,23,14
2025-07-01 00:00:00+00:00,108,16,56,12
2025-07-02 00:00:00+00:00,114,27,36,12
