url_path,views_total,views_unique
/instill-ai/instill-core,439,259
/instill-ai/instill-core/pulls,70,16
/instill-ai/instill-core/tree/main/charts/core,52,11
/instill-ai/instill-core/tree/main/release-please,44,5
/instill-ai/instill-core/tree/main/model-hub,30,9
/instill-ai/instill-core/tree/main/configs,20,4
/instill-ai/instill-core/blob/main/charts/core/values.yaml,20,2
/instill-ai/instill-core/blob/heiru/INS-3983/charts/core/values.yaml,20,1
/instill-ai/instill-core/actions,19,4
/instill-ai/instill-core/tree/main,18,6
