url_path,views_total,views_unique
/instill-ai/instill-core,566,399
/instill-ai/instill-core/tree/main/charts/instill-core,61,15
/instill-ai/instill-core/tree/main/protocol,45,16
/instill-ai/instill-core/tree/main/release-please,39,13
/instill-ai/instill-core/tree/main/examples,37,14
/instill-ai/instill-core/tree/main/charts/instill-core/templates,31,11
/instill-ai/instill-core/blob/main/LICENSE,26,9
/instill-ai/instill-core/releases,23,14
/instill-ai/instill-core/tree/main/test,19,7
/instill-ai/instill-core/releases/tag/v0.18.0-alpha,19,2
