url_path,views_total,views_unique
/instill-ai/instill-core,182,101
/instill-ai/instill-core/pulls,29,5
/instill-ai/instill-core/tree/main/charts/core,25,3
/instill-ai/instill-core/pull/1215,24,2
/instill-ai/instill-core/blob/main/charts/core/values.yaml,13,2
/instill-ai/instill-core/issues,12,7
/instill-ai/instill-core/blob/main/.env,9,4
/instill-ai/instill-core/actions/runs/14423072355,9,1
/instill-ai/instill-core/pull/1215/files,8,2
/instill-ai/instill-core/tree/sarthakgupta/rollout-configuration-draft,8,2
