referrer,views_total,views_unique
github.com,289,47
Google,23,13
instill.tech,16,8
facebook.com,6,6
linkedin.com,4,4
m.facebook.com,3,2
t.co,3,1
lm.facebook.com,2,2
forms.clickup.com,2,2
l.facebook.com,2,2
