time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-03 00:00:00+00:00,15,10,6,4
2026-04-04 00:00:00+00:00,39,20,10,7
2026-04-05 00:00:00+00:00,14,6,5,5
2026-04-06 00:00:00+00:00,31,15,8,6
2026-04-07 00:00:00+00:00,16,5,15,8
2026-04-08 00:00:00+00:00,19,9,23,10
2026-04-09 00:00:00+00:00,8,5,15,10
2026-04-10 00:00:00+00:00,17,10,22,8
2026-04-11 00:00:00+00:00,14,11,7,6
2026-04-12 00:00:00+00:00,15,8,11,5
2026-04-13 00:00:00+00:00,88,29,9,8
2026-04-14 00:00:00+00:00,58,22,14,8
2026-04-15 00:00:00+00:00,42,18,13,8
2026-04-16 00:00:00+00:00,46,13,21,16
