time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-25 00:00:00+00:00,136,19,173,29
2024-04-26 00:00:00+00:00,39,9,34,25
2024-04-27 00:00:00+00:00,3,3,24,18
2024-04-28 00:00:00+00:00,8,5,28,18
2024-04-29 00:00:00+00:00,29,8,52,20
2024-04-30 00:00:00+00:00,40,7,58,22
2024-05-01 00:00:00+00:00,12,6,47,22
2024-05-02 00:00:00+00:00,55,4,78,21
2024-05-03 00:00:00+00:00,25,5,23,18
2024-05-04 00:00:00+00:00,13,2,32,18
2024-05-05 00:00:00+00:00,6,2,144,14
2024-05-06 00:00:00+00:00,70,10,102,34
2024-05-07 00:00:00+00:00,147,15,85,27
2024-05-08 00:00:00+00:00,24,9,105,24
