time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-29 00:00:00+00:00,4,3,13,6
2026-08-30 00:00:00+00:00,5,3,17,7
2026-08-31 00:00:00+00:00,192,49,14,8
2026-09-01 00:00:00+00:00,43,30,8,7
2026-09-02 00:00:00+00:00,12,10,18,8
2026-09-03 00:00:00+00:00,19,10,17,12
2026-09-04 00:00:00+00:00,4,2,22,10
2026-09-05 00:00:00+00:00,7,6,17,9
2026-09-06 00:00:00+00:00,14,12,14,7
2026-09-07 00:00:00+00:00,11,8,9,5
2026-09-08 00:00:00+00:00,8,7,8,3
2026-09-09 00:00:00+00:00,553,17,16,6
2026-09-10 00:00:00+00:00,12,11,16,10
2026-09-11 00:00:00+00:00,19,12,21,17
