url_path,views_total,views_unique
/instill-ai/instill-core,452,303
/instill-ai/instill-core/tree/main/charts/instill-core,38,10
/instill-ai/instill-core/tree/main/examples,30,12
/instill-ai/instill-core/tree/main/protocol,28,10
/instill-ai/instill-core/tree/main/release-please,26,10
/instill-ai/instill-core/blob/main/LICENSE,21,7
/instill-ai/instill-core/releases/tag/v0.18.0-alpha,18,2
/instill-ai/instill-core/tree/main/charts/instill-core/templates,15,7
/instill-ai/instill-core/tree/main/test,15,6
/instill-ai/instill-core/releases,14,7
