referrer,views_total,views_unique
github.com,235,74
Google,73,15
forms.clickup.com,19,3
linkedin.com,17,9
facebook.com,16,14
instill.tech,14,8
com.google.android.gm,12,7
l.instagram.com,11,4
m.facebook.com,9,8
l.facebook.com,8,6
