time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-29 00:00:00+00:00,34.0,25.0,105,44
2022-11-30 00:00:00+00:00,106.0,59.0,94,39
2022-12-01 00:00:00+00:00,131.0,66.0,79,30
2022-12-02 00:00:00+00:00,41.0,29.0,29,11
2022-12-03 00:00:00+00:00,,,63,17
2022-12-04 00:00:00+00:00,1.0,1.0,19,15
2022-12-05 00:00:00+00:00,2.0,1.0,47,28
2022-12-06 00:00:00+00:00,7.0,4.0,43,20
2022-12-07 00:00:00+00:00,21.0,8.0,67,26
2022-12-08 00:00:00+00:00,11.0,5.0,44,13
2022-12-09 00:00:00+00:00,3.0,3.0,30,21
2022-12-10 00:00:00+00:00,21.0,6.0,31,19
2022-12-11 00:00:00+00:00,7.0,2.0,32,16
2022-12-12 00:00:00+00:00,108.0,52.0,49,16
