referrer,views_total,views_unique
github.com,127,55
forms.clickup.com,27,7
t.co,24,14
facebook.com,17,17
Google,17,13
mail.qq.com,12,1
linkedin.com,9,4
m.facebook.com,8,8
lm.facebook.com,5,5
l.facebook.com,4,4
