url_path,views_total,views_unique
/instill-ai/instill-core,495,310
/instill-ai/instill-core/tree/main/charts/core,38,9
/instill-ai/instill-core/pulls,35,16
/instill-ai/instill-core/blob/main/charts/core/values.yaml,28,2
/instill-ai/instill-core/tree/main/model-hub,27,11
/instill-ai/instill-core/tree/main/configs,21,5
/instill-ai/instill-core/tree/main/charts/core/templates,21,2
/instill-ai/instill-core/blob/main/README.md,20,6
/instill-ai/instill-core/tree/main/release-please,19,5
/instill-ai/instill-core/blob/main/release-please/config.json,15,3
