time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-06 00:00:00+00:00,36,28,108,68
2022-11-07 00:00:00+00:00,3,3,195,116
2022-11-08 00:00:00+00:00,12,11,158,94
2022-11-09 00:00:00+00:00,7,7,282,151
2022-11-10 00:00:00+00:00,4,4,202,122
2022-11-11 00:00:00+00:00,7,6,126,78
2022-11-12 00:00:00+00:00,5,3,73,47
2022-11-13 00:00:00+00:00,1,1,39,32
2022-11-14 00:00:00+00:00,4,3,114,44
2022-11-15 00:00:00+00:00,1,1,53,28
2022-11-16 00:00:00+00:00,4,4,116,60
2022-11-17 00:00:00+00:00,4,4,156,76
2022-11-18 00:00:00+00:00,7,5,138,71
2022-11-19 00:00:00+00:00,35,29,58,48
