referrer,views_total,views_unique
github.com,176,55
Google,38,17
forms.clickup.com,10,6
linkedin.com,5,3
yandex.ru,3,2
instill.tech,2,2
DuckDuckGo,2,2
Bing,2,2
Yahoo,1,1
discuss.airbyte.io,1,1
