url_path,views_total,views_unique
/instill-ai/vdp,189,98
/instill-ai/vdp/actions,50,2
/instill-ai/vdp/tree/main/.github,25,3
/instill-ai/vdp/tree/main/release-please,23,2
/instill-ai/vdp/tree/main/charts/vdp,21,4
/instill-ai/vdp/pulls,20,2
/instill-ai/vdp/blob/main/release-please/manifest.json,20,1
/instill-ai/vdp/tree/main/.github/workflows,18,3
/instill-ai/vdp/blob/43368f8031b863d6db123d32c6933704e288d628/.github/workflows/integration-test-console.yml,18,1
/instill-ai/vdp/blob/e84d79df220422acb644abaa9599f897f23a0520/charts/vdp/templates/connector-backend/deployment.yaml,12,3
