referrer,views_total,views_unique
github.com,222,51
facebook.com,104,78
forms.clickup.com,48,7
Google,33,13
l.facebook.com,10,8
linkedin.com,8,4
demo.instill.tech,7,1
mail.google.com,6,1
m.facebook.com,5,5
t.co,4,4
