time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-30 00:00:00+00:00,4,3,15,10
2022-07-31 00:00:00+00:00,1,1,4,2
2022-08-01 00:00:00+00:00,19,6,108,9
2022-08-02 00:00:00+00:00,48,9,265,39
2022-08-03 00:00:00+00:00,7,3,78,13
2022-08-04 00:00:00+00:00,205,95,52,10
2022-08-05 00:00:00+00:00,172,63,32,12
2022-08-06 00:00:00+00:00,194,77,10,6
2022-08-07 00:00:00+00:00,268,84,36,7
2022-08-08 00:00:00+00:00,160,75,96,17
2022-08-09 00:00:00+00:00,124,62,22,4
2022-08-10 00:00:00+00:00,34,30,15,5
2022-08-11 00:00:00+00:00,30,23,56,7
2022-08-12 00:00:00+00:00,89,36,47,12
