url_path,views_total,views_unique
/instill-ai/instill-core,482,316
/instill-ai/instill-core/pulls,87,19
/instill-ai/instill-core/tree/main/release-please,87,13
/instill-ai/instill-core/tree/main/charts/core,74,16
/instill-ai/instill-core/commits/main,57,7
/instill-ai/instill-core/blob/main/charts/core/values.yaml,40,3
/instill-ai/instill-core/tree/main/model-hub,33,13
/instill-ai/instill-core/forks,29,7
/instill-ai/instill-core/actions,27,8
/instill-ai/instill-core/tree/main/charts/core/templates,27,6
