time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-22 00:00:00+00:00,3,3,35,16
2022-12-23 00:00:00+00:00,9,4,64,11
2022-12-24 00:00:00+00:00,35,12,7,4
2022-12-25 00:00:00+00:00,14,10,11,9
2022-12-26 00:00:00+00:00,238,111,11,6
2022-12-27 00:00:00+00:00,176,91,11,9
2022-12-28 00:00:00+00:00,40,33,35,13
2022-12-29 00:00:00+00:00,8,5,32,16
2022-12-30 00:00:00+00:00,37,12,72,14
2022-12-31 00:00:00+00:00,6,4,16,7
2023-01-01 00:00:00+00:00,17,7,13,8
2023-01-02 00:00:00+00:00,10,5,33,10
2023-01-03 00:00:00+00:00,143,93,30,20
2023-01-04 00:00:00+00:00,56,46,25,15
