referrer,views_total,views_unique
github.com,160,55
forms.clickup.com,30,9
app.eraser.io,24,1
instill.tech,23,8
Google,20,14
Bing,7,1
facebook.com,4,4
linkedin.com,3,1
mail.google.com,1,1
t.co,1,1
