referrer,views_total,views_unique
github.com,39,16
t.co,26,4
Google,20,9
mail.google.com,14,4
l.facebook.com,11,6
instill.tech,9,6
forms.clickup.com,9,6
blog.instill.tech,3,2
medium.com,1,1
mail.yeah.net,1,1
