referrer,views_total,views_unique
github.com,127,39
Google,32,9
instill.tech,14,4
linkedin.com,9,5
forms.clickup.com,6,3
m.facebook.com,2,2
discuss.airbyte.io,2,2
facebook.com,2,2
workona.com,2,1
lm.facebook.com,1,1
