referrer,views_total,views_unique
github.com,168,50
Google,36,13
instill.tech,9,5
forms.clickup.com,8,6
linkedin.com,7,4
m.facebook.com,4,2
com.linkedin.android,4,2
Bing,2,2
stackshare.io,1,1
Yahoo,1,1
