url_path,views_total,views_unique
/instill-ai/instill-core,556,339
/instill-ai/instill-core/commits/main,69,5
/instill-ai/instill-core/tree/main/charts/core,58,12
/instill-ai/instill-core/pulls,36,12
/instill-ai/instill-core/blob/main/CHANGELOG.md,25,1
/instill-ai/instill-core/tree/main/release-please,24,5
/instill-ai/instill-core/tree/main/charts/core/templates,20,4
/instill-ai/instill-core/tree/main/charts/core/charts,15,6
/instill-ai/instill-core/tree/main/.github,15,4
/instill-ai/instill-core/tree/main/configs,14,6
