url_path,views_total,views_unique
/instill-ai/vdp,568,405
/instill-ai/vdp/tree/main/charts/vdp,54,15
/instill-ai/vdp/tree/main/release-please,31,12
/instill-ai/vdp/tree/main/charts/vdp/templates,26,7
/instill-ai/vdp/tree/main/charts/vdp/templates/pipeline-backend,20,6
/instill-ai/vdp/blob/main/charts/vdp/Chart.yaml,14,4
/instill-ai/vdp/blob/main/docker-compose.yml,12,5
/instill-ai/vdp/blob/main/Dockerfile,12,5
/instill-ai/vdp/tree/main/charts/vdp/templates/internal,12,5
/instill-ai/vdp/pulls,11,7
