referrer,views_total,views_unique
github.com,189,86
com.google.android.gm,95,60
Google,59,30
mail.google.com,55,39
mail.qq.com,30,23
instill.tech,18,8
t.co,15,7
m.facebook.com,8,7
mail.163.com,8,5
linkedin.com,6,4
