referrer,views_total,views_unique
github.com,75,26
instill.tech,10,2
indiehackers.com,5,3
l.facebook.com,5,2
lm.facebook.com,4,4
Google,4,3
t.co,4,2
m.facebook.com,3,2
facebook.com,2,2
linkedin.com,1,1
