url_path,views_total,views_unique
/instill-ai/instill-core,511,297
/instill-ai/instill-core/pulls,82,21
/instill-ai/instill-core/tree/main/charts/core,52,14
/instill-ai/instill-core/tree/main/release-please,46,7
/instill-ai/instill-core/tree/main/model-hub,45,17
/instill-ai/instill-core/blob/main/charts/core/values.yaml,30,1
/instill-ai/instill-core/tree/main/configs,29,7
/instill-ai/instill-core/blob/main/docker-compose.yml,23,8
/instill-ai/instill-core/tree/main/charts/core/templates,23,2
/instill-ai/instill-core/blob/main/README.md,22,7
