time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-05 00:00:00+00:00,80,19,80,55
2024-02-06 00:00:00+00:00,82,36,123,51
2024-02-07 00:00:00+00:00,52,6,68,27
2024-02-08 00:00:00+00:00,8,6,59,29
2024-02-09 00:00:00+00:00,11,5,25,21
2024-02-10 00:00:00+00:00,11,4,24,18
2024-02-11 00:00:00+00:00,4,2,21,16
2024-02-12 00:00:00+00:00,14,5,63,35
2024-02-13 00:00:00+00:00,30,9,53,32
2024-02-14 00:00:00+00:00,148,18,43,21
2024-02-15 00:00:00+00:00,155,21,105,30
2024-02-16 00:00:00+00:00,138,38,47,33
2024-02-17 00:00:00+00:00,19,5,45,33
2024-02-18 00:00:00+00:00,12,11,31,24
