url_path,views_total,views_unique
/instill-ai/instill-core,476,315
/instill-ai/instill-core/pulls,47,16
/instill-ai/instill-core/tree/main/charts/core,44,12
/instill-ai/instill-core/tree/main/release-please,42,6
/instill-ai/instill-core/blob/main/charts/core/values.yaml,28,2
/instill-ai/instill-core/tree/main/model-hub,16,8
/instill-ai/instill-core/forks,15,4
/instill-ai/instill-core/tree/main/configs,12,6
/instill-ai/instill-core/branches,12,2
/instill-ai/instill-core/tree/update-ray-infra/charts/core,12,1
