time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-29 00:00:00+00:00,67,23,50,30
2023-03-30 00:00:00+00:00,178,83,62,34
2023-03-31 00:00:00+00:00,145,74,139,64
2023-04-01 00:00:00+00:00,37,35,98,43
2023-04-02 00:00:00+00:00,51,24,151,58
2023-04-03 00:00:00+00:00,324,85,212,24
2023-04-04 00:00:00+00:00,293,90,330,27
2023-04-05 00:00:00+00:00,223,58,239,40
2023-04-06 00:00:00+00:00,144,43,113,25
2023-04-07 00:00:00+00:00,436,70,206,15
2023-04-08 00:00:00+00:00,309,77,38,8
2023-04-09 00:00:00+00:00,560,100,164,27
2023-04-10 00:00:00+00:00,364,135,166,20
2023-04-11 00:00:00+00:00,173,101,26,18
