time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-13 00:00:00+00:00,172,51,29,11
2023-07-14 00:00:00+00:00,190,24,71,10
2023-07-15 00:00:00+00:00,21,3,52,7
2023-07-16 00:00:00+00:00,27,4,10,9
2023-07-17 00:00:00+00:00,188,13,134,12
2023-07-18 00:00:00+00:00,167,49,14,7
2023-07-19 00:00:00+00:00,280,70,129,31
2023-07-20 00:00:00+00:00,282,28,75,28
2023-07-21 00:00:00+00:00,134,55,145,18
2023-07-22 00:00:00+00:00,175,76,15,9
2023-07-23 00:00:00+00:00,215,88,11,9
2023-07-24 00:00:00+00:00,164,80,96,25
2023-07-25 00:00:00+00:00,32,25,77,24
2023-07-26 00:00:00+00:00,81,38,96,21
