referrer,views_total,views_unique
github.com,171,65
forms.clickup.com,26,7
linkedin.com,24,11
facebook.com,17,16
Google,17,10
com.google.android.gm,16,8
l.instagram.com,10,3
com.linkedin.android,5,4
l.facebook.com,5,3
instill.tech,4,3
