url_path,views_total,views_unique
/instill-ai/instill-core,493,282
/instill-ai/instill-core/pulls,107,17
/instill-ai/instill-core/tree/main/charts/core,99,17
/instill-ai/instill-core/tree/main/release-please,89,12
/instill-ai/instill-core/commits/main,54,7
/instill-ai/instill-core/tree/main/charts/core/templates,43,6
/instill-ai/instill-core/blob/main/charts/core/values.yaml,42,3
/instill-ai/instill-core/actions,39,7
/instill-ai/instill-core/tree/main,38,11
/instill-ai/instill-core/tree/main/model-hub,38,10
