time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-12 00:00:00+00:00,260,18,62,11
2023-09-13 00:00:00+00:00,271,27,53,13
2023-09-14 00:00:00+00:00,77,12,117,15
2023-09-15 00:00:00+00:00,17,5,39,13
2023-09-16 00:00:00+00:00,72,6,16,9
2023-09-17 00:00:00+00:00,228,24,81,9
2023-09-18 00:00:00+00:00,153,27,42,15
2023-09-19 00:00:00+00:00,323,67,130,17
2023-09-20 00:00:00+00:00,82,18,102,29
2023-09-21 00:00:00+00:00,257,34,66,17
2023-09-22 00:00:00+00:00,159,22,34,13
2023-09-23 00:00:00+00:00,15,5,8,6
2023-09-24 00:00:00+00:00,74,12,25,10
2023-09-25 00:00:00+00:00,544,46,103,16
