referrer,views_total,views_unique
github.com,176,43
Google,31,8
linkedin.com,9,5
instill.tech,7,4
forms.clickup.com,6,3
facebook.com,4,4
m.facebook.com,2,2
discuss.airbyte.io,2,2
workona.com,2,1
lm.facebook.com,1,1
