referrer,views_total,views_unique
github.com,136,63
Google,79,21
instill.tech,32,7
medium.com,27,1
com.google.android.gm,20,11
facebook.com,7,6
wx.mail.qq.com,3,2
forms.clickup.com,2,2
web.telegram.org,1,1
statics.teams.cdn.office.net,1,1
