referrer,views_total,views_unique
github.com,94,52
instill.tech,33,8
forms.clickup.com,30,9
app.eraser.io,24,1
Google,18,13
Bing,7,1
facebook.com,5,5
l.facebook.com,5,1
t.co,4,2
linkedin.com,3,1
