time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-01 00:00:00+00:00,50,5,128,32
2023-12-02 00:00:00+00:00,7,6,35,24
2023-12-03 00:00:00+00:00,18,7,52,24
2023-12-04 00:00:00+00:00,82,13,90,41
2023-12-05 00:00:00+00:00,28,7,57,29
2023-12-06 00:00:00+00:00,198,25,54,30
2023-12-07 00:00:00+00:00,243,52,81,38
2023-12-08 00:00:00+00:00,89,24,133,42
2023-12-09 00:00:00+00:00,21,6,27,16
2023-12-10 00:00:00+00:00,40,14,28,20
2023-12-11 00:00:00+00:00,116,17,134,32
2023-12-12 00:00:00+00:00,146,35,28,20
2023-12-13 00:00:00+00:00,133,25,48,22
2023-12-14 00:00:00+00:00,115,15,61,24
